win,running,truecount,bet,dealcard,playhand,numhit,aceplay,acedeal,dealhandfinal,playerhandfinal,dealnumcard,dealbust,playbust,bjplay,bjdeal,split,ddown
0,0,0,0,11,17,1,1,1,17,17,4,0,0,0,0,0,0
0,0,0,-5,7,18,0,0,0,21,18,3,0,0,0,0,0,0
0,0,0,-5,10,15,1,0,1,21,20,2,0,0,0,1,0,0
0,0,0,-5,10,12,2,0,0,20,18,2,0,0,0,0,0,0
1,0,0,5,10,8,2,0,0,23,21,3,1,0,0,0,0,0
0,0,0,-5,7,5,3,0,1,18,26,2,0,1,0,0,0,0
0,0,0,-5,3,14,0,0,0,18,14,3,0,0,0,0,0,0
0,0,0,0,5,10,1,0,0,18,18,3,0,0,0,0,0,1
1,0,0,5,4,18,0,0,0,23,18,4,1,0,0,0,0,0
0,0,0,-5,9,17,0,0,0,19,17,2,0,0,0,0,0,0
0,0,0,0,10,18,0,0,0,18,18,3,0,0,0,0,0,0
0,0,0,-5,11,7,1,0,2,18,17,3,0,0,0,0,0,0
1,0,0,10,9,11,1,1,0,26,12,3,1,0,0,0,0,1
0,0,0,0,9,4,2,0,0,19,19,2,0,0,0,0,0,0
1,0,0,5,7,20,0,0,1,18,20,2,0,0,0,0,0,0
0,0,0,0,10,20,0,0,0,20,20,2,0,0,0,0,0,0
1,0,0,6,6,21,0,0,1,9,21,2,0,0,1,0,0,0
0,0,0,-5,5,17,0,0,0,21,17,3,0,0,0,0,0,0
0,0,0,-5,4,12,0,0,0,20,12,3,0,0,0,0,0,0
1,0,0,5,7,19,0,0,0,18,19,3,0,0,0,0,0,0
1,0,0,6,10,21,0,1,0,13,21,2,0,0,1,0,0,0
0,0,0,-5,9,13,2,0,0,21,19,3,0,0,0,0,0,0
0,0,0,-5,7,15,1,0,0,17,23,2,0,1,0,0,0,0
1,0,0,10,6,10,1,1,0,22,21,4,1,0,0,0,0,1
0,0,0,-5,10,14,1,0,0,20,22,2,0,1,0,0,0,0
0,0,0,-5,10,14,2,1,0,18,17,2,0,0,0,0,0,0
0,0,0,-5,2,8,1,0,0,18,15,3,0,0,0,0,0,0
0,0,0,-10,9,11,1,0,1,20,16,2,0,0,0,0,0,1
0,0,0,-5,11,17,0,0,1,19,17,2,0,0,0,0,0,0
1,0,0,5,7,10,0,0,0,18,20,3,0,0,0,0,0,0
0,0,0,-5,4,14,0,0,1,19,14,4,0,0,0,0,0,0
0,0,0,-5,9,14,2,1,0,19,17,2,0,0,0,0,0,0
0,0,0,-5,21,20,0,0,1,21,20,2,0,0,0,1,0,0
1,0,0,6,10,21,0,1,0,14,21,2,0,0,1,0,0,0
0,0,0,-5,9,16,1,0,1,20,26,2,0,1,0,0,0,0
1,0,0,5,8,18,0,0,0,17,18,2,0,0,0,0,0,0
0,0,0,-5,10,12,1,0,0,20,19,2,0,0,0,0,0,0
0,0,0,-5,9,12,1,0,0,19,22,3,0,1,0,0,0,0
1,0,0,10,6,11,1,0,0,22,21,4,1,0,0,0,0,1
1,0,0,10,6,10,1,0,0,26,17,3,1,0,0,0,0,1
0,0,0,-5,4,15,0,0,0,21,15,4,0,0,0,0,0,0
1,0,0,5,9,7,1,0,0,24,17,4,1,0,0,0,0,0
1,0,0,5,2,20,0,0,0,24,20,4,1,0,0,0,0,0
0,0,0,0,9,16,2,0,1,25,22,4,1,1,0,0,1,0
0,0,0,-5,8,15,1,0,0,18,25,3,0,1,0,0,0,0
0,0,0,-5,8,17,0,0,0,18,17,2,0,0,0,0,0,0
1,0,0,10,7,10,1,0,0,25,15,3,1,0,0,0,0,1
1,0,0,5,10,13,1,0,0,22,17,3,1,0,0,0,0,0
1,0,0,5,10,14,1,0,0,19,21,3,0,0,0,0,0,0
0,0,0,-5,2,18,0,0,1,19,18,4,0,0,0,0,0,0
0,0,0,-5,21,18,1,0,1,21,18,2,0,0,0,1,0,0
1,0,0,20,6,12,1,2,0,23,21,3,1,0,1,0,1,1
1,0,0,20,2,12,1,2,0,18,20,3,0,0,1,0,1,1
0,0,0,-5,3,13,0,0,0,20,13,4,0,0,0,0,0,0
0,0,0,-5,10,17,0,0,0,20,17,2,0,0,0,0,0,0
0,0,0,-5,3,15,1,1,0,17,15,3,0,0,0,0,0,0
1,0,0,5,5,15,0,0,1,26,15,5,1,0,0,0,0,0
1,0,0,5,2,15,0,0,0,25,15,4,1,0,0,0,0,0
1,0,0,5,2,15,0,0,0,24,15,4,1,0,0,0,0,0
0,0,0,-5,10,17,0,0,0,19,17,2,0,0,0,0,0,0
1,0,0,5,8,19,0,0,0,18,19,2,0,0,0,0,0,0
1,0,0,5,8,12,2,0,0,18,19,2,0,0,0,0,0,0
0,0,0,-5,10,14,1,0,0,20,24,2,0,1,0,0,0,0
0,0,0,0,8,18,0,0,0,18,18,4,0,0,0,0,0,0
0,0,0,-5,11,10,1,0,1,20,19,2,0,0,0,0,0,0
0,0,0,-5,21,13,1,0,1,21,19,2,0,0,0,1,0,0
0,0,0,-5,8,13,1,0,0,23,23,4,1,1,0,0,0,0
0,0,0,-5,11,15,1,0,1,20,25,3,0,1,0,0,0,0
